text,class
I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,ham
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,ham
I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX,ham
I am in tirupur.  call you da.,ham
That's one of the issues but california is okay. No snow so its manageable,ham
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,ham
Don know..he is watching film in computer..,ham
"\I;m reaching in another 2 stops.\""""",ham
Den wat will e schedule b lk on sun?,ham
Cool. So how come you havent been wined and dined before?,ham
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham
"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\""""",ham
"Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)",ham
"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x",ham
I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,ham
Company is very good.environment is terrific and food is really nice:),ham
You will be in the place of that man,ham
No. To be nosy I guess. Idk am I over reacting if I'm freaked?,ham
Will you be here for food,ham
Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,ham
K:)eng rocking in ashes:),ham
Pathaya enketa maraikara pa',ham
"Well, i'm gonna finish my bath now. Have a good...fine night.",ham
Can i meet Ì_ at 5.. As 4 where depends on where Ì_ wan 2 in lor..,ham
Nah im goin 2 the wrks with j wot bout u?,ham
You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,ham
"Sorry, I'll call later",ham
"Nah can't help you there, I've never had an iphone",ham
\CHA QUITEAMUZING THATåÕSCOOL BABE,ham
Wait 2 min..stand at bus stop,ham
"\Im on gloucesterroad what are uup to later?\""""",ham
"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",ham
I cant pick the phone right now. Pls send a message,ham
"Nothing really, just making sure everybody's up to speed",ham
From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,ham
Sac will score big hundred.he is set batsman:-),ham
Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),ham
I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,ham
"Wat time liao, where still got.",ham
"Aight, I'll hit you up when I get some cash",ham
Wait . I will msg after  &lt;#&gt;  min.,ham
"K so am I, how much for an 8th? Fifty?",ham
I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.,ham
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham
Will Ì_ b going to esplanade fr home?,ham
Anything lor. Juz both of us lor.,ham
Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,ham
India have to take lead:),ham
Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,ham
Just got to  &lt;#&gt;,ham
Any way where are you and what doing.,ham
Gud mrng dear hav a nice day,ham
Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,ham
Oh god..taken the teeth?is it paining,ham
Wat r u doing?,ham
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",ham
Did u got that persons story,ham
Its not the same here. Still looking for a job. How much do Ta's earn there.,ham
Long time. You remember me today.,ham
Hi da:)how is the todays class?,ham
Are you staying in town ?,ham
Stop knowing me so well!,ham
"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",ham
make that 3! 4 fucks sake?! x,ham
So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,ham
"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?",ham
No plm i will come da. On the way.,ham
Good morning princess! Have a great day!,ham
Ok lor... But buy wat?,ham
U 2.,ham
"Erm ‰Û_ ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",ham
... Are you in the pub?,ham
You will be in the place of that man,ham
Then get some cash together and I'll text jason,ham
Oh ya ya. I remember da. .,ham
"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",ham
So can collect ur laptop?,ham
I'm going out to buy mum's present ar.,ham
Ok. I asked for money how far,ham
I'm in school now n i'll be in da lab doing some stuff give me a call when Ì_ r done.,ham
Thanks for loving me so. You rock,ham
We're done...,ham
"Well, i'm glad you didn't find it totally disagreeable ... Lol",ham
K tell me anything about you.,ham
"I shall book chez jules for half eight, if that's ok with you?",ham
"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\""""",ham
I had askd u a question some hours before. Its answer,ham
I'm working technical support :)voice process.networking field.,ham
"Sorry, I'll call later",ham
Erutupalam thandiyachu,ham
"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",ham
"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",ham
K go and sleep well. Take rest:-).,ham
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham
I'm in school now n i'll be in da lab doing some stuff give me a call when Ì_ r done.,ham
Midnight at the earliest,ham
THIS IS A LONG FUCKIN SHOWR,ham
"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",ham
No shoot me. I'm in the docs waiting room. :/,ham
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",ham
LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,ham
happened here while you were adventuring,ham
I can't make it tonight,ham
Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,ham
Otherwise had part time job na-tuition..,ham
Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.,ham
I dont have that much image in class.,ham
"Dad wanted to talk about the apartment so I got a late start, omw now",ham
How many times i told in the stage all use to laugh. You not listen aha.,ham
"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",ham
Don‰Û÷t give a flying monkeys wot they think and I certainly don‰Û÷t mind. Any friend of mine and all that!,ham
"No, I was trying it all weekend ;V",ham
Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/,ham
Hey. You got any mail?,ham
If you r @ home then come down within 5 min,ham
"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",ham
Good evening! How are you?,ham
No let me do the math. Your not good at it.,ham
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ham
"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",ham
Hello! Good week? Fancy a drink or something later?,ham
I am not having her number sir,ham
You call him and tell now infront of them. Call him now.,ham
Wat time Ì_ finish?,ham
U still going to the mall?,ham
Lmao!nice 1,ham
Dun need to use dial up juz open da browser n surf...,ham
says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.,ham
Just now saw your message.it k da:),ham
Go where n buy? Juz buy when we get there lar.,ham
X2  &lt;#&gt; . Are you going to get that,ham
What not under standing.,ham
She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,ham
U GOIN OUT 2NITE?,ham
Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,ham
Whens your radio show?,ham
S.i think he is waste for rr..,ham
"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",ham
How much would it cost to hire a hitman,ham
Ok...,ham
Leave it de:-). Start Prepare for next:-)..,ham
Pick you up bout 7.30ish? What time are  and that going?,ham
I have a rather prominent bite mark on my right cheek,ham
Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,ham
Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.,ham
Which is weird because I know I had it at one point,ham
We left already we at orchard now.,ham
I am in tirupur.  call you da.,ham
I want to lick your pussy now...,ham
Have your lunch and come quickly and open the door:),ham
"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out",ham
Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,ham
There is no sense in my foot and penis.,ham
"Jus chillaxin, what up",ham
Joy's father is John. Then John is the NAME of Joy's father. Mandan,ham
"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\""""",ham
You can never do NOTHING,ham
Have a good trip. Watch out for . Remember when you get back we must decide about easter.,ham
Huh so late... Fr dinner?,ham
"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",ham
Yeah that's the impression I got,ham
Okie,ham
"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",ham
(That said can you text him one more time?),ham
Have you bookedthe hut? And also your time off? How are you by the way?,ham
Wot is u up 2 then bitch?,ham
Nope watching tv at home... Not going out. V bored...,ham
either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,ham
I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,ham
True. Its easier with her here.,ham
Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,ham
Ard 4 lor...,ham
Great. Have a safe trip. Dont panic surrender all.,ham
I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,ham
"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",ham
Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,ham
So u workin overtime nigpun?,ham
I dont have that much image in class.,ham
Yay can't wait to party together!,ham
"A few people are at the game, I'm at the mall with iouri and kaila",ham
What type of stuff do you sing?,ham
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham
S.this will increase the chance of winning.,ham
"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",ham
"Playin space poker, u?",ham
Ok...,ham
"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",ham
Captain is in our room:),ham
No problem baby. Is this is a good time to talk? I called and left a message.,ham
Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,ham
Gokila is talking with you aha:),ham
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",ham
"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.",ham
Wish i were with you now!,ham
Meeting u is my work. . . Tel me when shall i do my work tomorrow,ham
Hey you around? I've got enough for a half + the ten I owe you,ham
Lol u still feeling sick?,ham
DO NOT B LATE LOVE MUM,ham
He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,ham
\HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS åÐ FUCKINNICE!SELFISH,ham
I like cheap! But i‰Û÷m happy to splash out on the wine if it makes you feel better..,ham
Correct. So how was work today,ham
"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx",ham
I cant pick the phone right now. Pls send a message,ham
Really dun bluff me leh... U sleep early too. Nite...,ham
You need to get up. Now.,ham
No i am not having not any movies in my laptop,ham
"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*",ham
Stupid auto correct on my phone,ham
What you doing?how are you?,ham
No dear i was sleeping :-P,ham
Dare i ask... Any luck with sorting out the car?,ham
ÌÏ go home liao? Ask dad to pick me up at 6...,ham
Which is weird because I know I had it at one point,ham
"I‰Û÷ll leave around four, ok?",ham
&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here,ham
HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN,ham
What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,ham
So when do you wanna gym harri,ham
Customer place i will call you.,ham
"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL",ham
I'm home. Ard wat time will u reach?,ham
K:)k:)what are detail you want to transfer?acc no enough?,ham
"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",ham
"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna",ham
"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",ham
There bold 2  &lt;#&gt; . Is that yours,ham
What time do u get out?,ham
Ok. So april. Cant wait,ham
No current and food here. I am alone also,ham
I'm done oredi...,ham
Ok lor thanx... ÌÏ in school?,ham
What time should I tell my friend to be around?,ham
Will purchase d stuff today and mail to you. Do you have a po box number?,ham
Great! So what attracts you to the brothas?,ham
Wherre's my boytoy ? :-(,ham
"Yeah sure, give me a couple minutes to track down my wallet",ham
Didn't you get hep b immunisation in nigeria.,ham
Every day i use to sleep after  &lt;#&gt;  so only.,ham
"Pity, * was in mood for that. So...any other suggestions?",ham
Do you think i can move  &lt;#&gt;  in a week,ham
Re your call; You didn't see my facebook huh?,ham
Kothi print out marandratha.,ham
Am surfing online store. For offers do you want to buy any thing.,ham
I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,ham
Some of them told accenture is not confirm. Is it true.,ham
God bless.get good sleep my dear...i will pray!,ham
Dont you have message offer,ham
Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,ham
U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,ham
I think just yourself ‰Û_Thanks and see you tomo,ham
You are right. Meanwhile how's project twins comin up,ham
I had askd u a question some hours before. Its answer,ham
Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,ham
K.then any other special?,ham
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",ham
I know girls always safe and selfish know i got it pa. Thank you. good night.,ham
Jesus christ bitch I'm trying to give you drugs answer your fucking phone,ham
"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",ham
U still going to the mall?,ham
"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",ham
My planning usually stops at \find hella weed,ham
Midnight at the earliest,ham
Lil fever:) now fine:),ham
The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,ham
Also remember to get dobby's bowl from your car,ham
"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.",ham
"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?",ham
"Sounds good, keep me posted",ham
Hui xin is in da lib.,ham
Hey check it da. I have listed da.,ham
Sweet heart how are you?,ham
I hope your pee burns tonite.,ham
Ranjith cal drpd Deeraj and deepak 5min hold,ham
"Happy or sad , one thing about past is- \Its no more\"" GOOD MORNING :-):-).""",ham
Jesus christ bitch I'm trying to give you drugs answer your fucking phone,ham
I reach home safe n sound liao...,ham
As usual u can call me ard 10 smth.,ham
Gokila is talking with you aha:),ham
I have no idea where you are,ham
"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",ham
"Yes, my reg is  Ciao!",ham
Saw Guys and Dolls last night with Patrick Swayze it was great,ham
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,ham
I am waiting for your call sir.,ham
Er yep sure. Props?,ham
Yup i've finished c Ì_ there...,ham
Omg it could snow here tonite!,ham
I accidentally deleted the message. Resend please.,ham
"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",ham
Dear are you angry i was busy dear,ham
My sister got placed in birla soft da:-),ham
"Sorry pa, i dont knw who ru pa?",ham
I will come with karnan car. Please wait till 6pm will directly goto doctor.,ham
Happy New Year Princess!,ham
"Sure, I'll see if I can come by in a bit",ham
Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-),ham
Ok...,ham
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,ham
Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;,ham
Then wat r u doing now? Busy wif work?,ham
Morning only i can ok.,ham
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",ham
Aiyah e rain like quite big leh. If drizzling i can at least run home.,ham
"Sorry, I'll call later",ham
"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?",ham
I cant pick the phone right now. Pls send a message,ham
Well obviously not because all the people in my cool college life went home ;_;,ham
Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs,ham
"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",ham
IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx,ham
All will come alive.better correct any good looking figure there itself..,ham
"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",ham
Same. Wana plan a trip sometme then,ham
Anything...,ham
I am in tirupur.  call you da.,ham
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham
Cos daddy arranging time c wat time fetch Ì_ mah...,ham
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham
Hi my email address has changed now it is,ham
Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again,ham
No..few hours before.went to hair cut .,ham
Oh yeah clearly it's my fault,ham
Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?,ham
Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house,ham
You are right. Meanwhile how's project twins comin up,ham
Haha okay... Today weekend leh...,ham
In the end she might still vomit but its okay. Not everything will come out.,ham
No management puzzeles.,ham
"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",ham
WHORE YOU ARE UNBELIEVABLE.,ham
Very hurting n meaningful lines ever: \I compromised everything for my love,ham
A guy who gets used but is too dumb to realize it.,ham
No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,ham
Hey morning what you come to ask:-) pa...,ham
4 oclock at mine. Just to bash out a flat plan.,ham
"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",ham
But i'll b going 2 sch on mon. My sis need 2 take smth.,ham
No i am not having not any movies in my laptop,ham
I pocked you up there before,ham
Shhhhh nobody is supposed to know!,ham
I'm home.,ham
No calls..messages..missed calls,ham
R u saying i should re order the slippers cos i had to pay for returning it.,ham
Merry christmas to u too annie!,ham
We have pizza if u want,ham
Thats cool. How was your day?,ham
Well that must be a pain to catch,ham
Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,ham
Leave it wif me lar... ÌÏ wan to carry meh so heavy... Is da num 98321561 familiar to Ì_?,ham
Dunno lei... I might b eatin wif my frens... If Ì_ wan to eat then i wait 4 Ì_ lar,ham
"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.",ham
Its just the effect of irritation. Just ignore it,ham
In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8,ham
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,ham
Now only i reached home. . . I am very tired now. . I will come tomorro,ham
No no. I will check all rooms befor activities,ham
As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
"Sir Goodmorning, Once free call me.",ham
Uncle Abbey! Happy New Year. Abiola,ham
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham
Hi da:)how is the todays class?,ham
"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",ham
Thank you princess! I want to see your nice juicy booty...,ham
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",ham
Have you finished work yet? :),ham
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",ham
"Until 545 lor... Ya, can go 4 dinner together...",ham
"I'm in solihull, | do you want anything?",ham
Are you this much buzy,ham
Kallis wont bat in 2nd innings.,ham
I love to wine and dine my lady!,ham
alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,ham
"Mah b, I'll pick it up tomorrow",ham
Dear where you. Call me,ham
Indeed and by the way it was either or - not both !,ham
Ya had just now.onion roast.,ham
I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,ham
You do got a shitload of diamonds though,ham
"We are hoping to get away by 7, from Langport. You still up for town tonight?",ham
I hope your pee burns tonite.,ham
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",ham
Mm i am on the way to railway,ham
"Sorry, I'll call later",ham
Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),ham
"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\""""",ham
Not from this campus. Are you in the library?,ham
Ugh hopefully the asus ppl dont randomly do a reformat.,ham
"Sorry, I'll call later",ham
Hai priya are you right. What doctor said pa. Where are you.,ham
You call times job today ok umma and ask them to speed up,ham
"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-).",ham
"I guess you could be as good an excuse as any, lol.",ham
Yo sorry was in the shower sup,ham
Lol well don't do it without me. We could have a big sale together.,ham
Oh Howda gud gud.. Mathe en samachara chikku:-),ham
These won't do. Have to move on to morphine,ham
Onum ela pa. Normal than.,ham
Can you pls send me that company name. In saibaba colany,ham
"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...",ham
\Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But,ham
Thanx a lot 4 ur help!,ham
Its not the same here. Still looking for a job. How much do Ta's earn there.,ham
I'm at home. Please call,ham
